ID Chamado,TÍTULO,DATA E HORA ABERTURA,STATUS,,,,CAMPUS,,,,,CATEGORIA COMPLETA,,,,Valor do chamado,,,,Latitude x Longitude Geral,,DESCRIÇÃO GLPI,TÍTULO O.S.M.,DESCRIÇÃO O.S.M.,Classificação IA,,Avaliação (%),Executor,Criticidade Atribuída por IA
1102,"Prezados(as),  Nós colocamos alguns equipamentos e estamos monitoran",2015-06-29 10:51,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Descrição - Prezados(as),

Nós colocamos alguns equipamentos e estamos monitorando diariamente os colégios universitarios, portanto gostaríamos de solicitar uma revisão na rede elétrica dos CUNIs de ITabuna. O motivo na verdade dessa revisão é criar uma independência de circuito do colégio com as salas cedidas para UFSB . O motivo dessa solicitação é que quando o colégio desliga o disjuntor, as salas de aulas da UFSB também ficam sem energia.

Solução - Prezado Ricardo,

Em visita aos locais citados verificamos que os circuitos já estão individualizados, no entanto observamos que os desligamentos ocorrem por diversas causas e não necessariamente em todos os locais:

- IBICARAÍ: fizemos contato com a Diretora e fomos informados de que as faltas de energia por parte da COELBA são constantes e diárias, e acontecem ha muito tempo atrás. A própria Direção da escola já entrou em contato com a a SEC/SAEB e COELBA para tentarem resolver este problema. Também solicitamos que a mesma passasse a orientação para que a vigilância não faça o desligamento deste pavilhão onde se encontra o CUNI;

- ITABUNA: também Também solicitamos que a Direção passe a orientação para que a vigilância não faça o desligamento, bem como solicitamos que a empresa Potencial faça a identificação dos circuitos no quadro;

Nos demais CUNI´s ainda estamos verificando.

Orientamos que a própria PROTIC e a Assistente Operacional do CUNI seja responsável por verificar se toda a Iluminação das salas e corredor estejam apagadas após o término das atividades, evitando que a vigilância o faça e inapropriadamente desligue todos os circuitos.

João Ramos",,,Elétrica > Instalações elétricas,,0.94,Reclass_LSTM,Baixa
2019050189,Troca de Lãmpadas,2019-05-09 08:46,Fechado,,,,Campus Sosígenes Costa,,,,,Elétrica > Iluminação,,,,221.49,,,,"-16.281402, -39.024453",,Solicito a troca das lâmpadas queimadas do corredor das salas do CUNI de Santa Cruz Cabrália. Foi sinalizado pelo Assistente operacional essa necessidade.,Troca de Lâmpadas,Material para troca de lâmpadas,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
1284,Gostaria de solicitar a instalação de mais 02 nobreacks de 6KVa na,2015-07-15 08:57,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Gostaria de solicitar a instalação de mais 02 nobreacks de 6KVa na sala dos servidores, os mesmo encontram-se no local.",,,Elétrica > Instalações elétricas,,0.95,Reclass_LSTM,Baixa
1331,Problema no ar condicionado,2015-07-20 10:04,Fechado,,,,Reitoria,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"com frequência o aparelho da Secretaria Executiva apresenta os seguintes problemas:

1 - funcionamento interrompido, apresentando a mensagem ""EC"" no display;
2- derramamento de água ao ligá-lo pela manhã;
3 - filtro com poeira.",,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
1560,A sala do CUNI em Ilhéus tem sofrido constantes quedas de energia. Con,2015-08-12 15:10,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.784588690412658, -39.04431728226902",,"A sala do CUNI em Ilhéus tem sofrido constantes quedas de energia. Conforme orientação de Ricardo Ornelas, solicitamos à DINFRA a verificação da situação.",,,Elétrica > Instalações elétricas,,0.95,Reclass_LSTM,Alta
1568,Uma das persinas da Secretaria Executiva caiu.,2015-08-13 09:15,Fechado,,,,Reitoria,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Uma das persinas da Secretaria Executiva caiu.,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.97,Reclass_LSTM,Baixa
1574,Favor providenciar os Serviços de Manutenção da Rede Elétrica e Coloca,2015-08-13 14:09,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"Favor providenciar os Serviços de Manutenção da Rede Elétrica e Colocação de Lâmpadas nos Depósitos do Setor de Patrimônio da UFSB Itabuna.

Atte,

Emerson",,,Elétrica > Instalações elétricas,,0.92,Reclass_LSTM,Baixa
1607,Tomada nova 110 volts,2015-08-18 15:51,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Necessidade de instalação de tomada para microondas nas sala da Diretora da DGP.,,,Elétrica > Instalações elétricas,,0.98,Reclass_LSTM,Baixa
1693,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2015-08-31 09:16,Fechado,,,,Campus Jorge Amado,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Senhores(as), bom dia !

Por favor, solicito a instalação de 01 quadro de avisos suspenso e fixado ao teto, conforme padrão adotado pela DINFRA. Tal quadro deverá ser instalado na sala da Coordenação Geral do CJA.

Grato,

Emerson Belém",,,Elétrica > Iluminação,,0.81,Reclass_LSTM,Baixa
1800,"Solicito individualização do interruptor de energia, pois as salas for",2015-09-17 11:00,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Solicito individualização do interruptor de energia, pois as salas foram divididas e só tem um interruptor de luz para ambas.",,,Elétrica > Instalações elétricas,,0.96,Reclass_LSTM,Baixa
