ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
1102,"Prezados(as),  Nós colocamos alguns equipamentos e estamos monitoran",Elétrica > Instalações elétricas,,,
2019050189,Troca de Lãmpadas,Elétrica > Iluminação,,,
1284,Gostaria de solicitar a instalação de mais 02 nobreacks de 6KVa na,Elétrica > Instalações elétricas,,,
1331,Problema no ar condicionado,Climatização > Ar condicionado,,,
1560,A sala do CUNI em Ilhéus tem sofrido constantes quedas de energia. Con,Elétrica > Instalações elétricas,,,
1568,Uma das persinas da Secretaria Executiva caiu.,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
1574,Favor providenciar os Serviços de Manutenção da Rede Elétrica e Coloca,Elétrica > Iluminação,,,
1607,Tomada nova 110 volts,Elétrica > Instalações elétricas,,,
1693,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
1800,"Solicito individualização do interruptor de energia, pois as salas for",Elétrica > Instalações elétricas,,,
1962,A luz da sala está com mau contato.,Elétrica > Iluminação,,,
1963,Condicionador de ar não liga.,Climatização > Ar condicionado,,,
2000,Troca de reatores,Elétrica > Iluminação,,,
2001,Troca de reator,Elétrica > Iluminação,,,
2013,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,Outros > Erro de chamado,,,
2019050186,Identificar problemas em Ar Condicionados da Coleção Micológica do CEPEC,Climatização > Ar condicionado,,,
2049,Bom dia. Solicito instalação de eletroduto na sala dos servidores para,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2050,Bom dia. Solicito a instalação de duas lâmpadas de emergência na sala,Elétrica > Iluminação,,,
2091,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2133,Queda de energia,Elétrica > Instalações elétricas,,,
2173,A fechadura da porta principal da PROTIC está apresentando problema. A,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2205,INSTALAR/RELOCAR PONTO DE ELÉTRICA E LÓGICA - MUDANÇA DE LAYOUT MESA A,Elétrica > Instalações elétricas,,,
2223,"O ar condicionado aqui da antiga sala da procuradoria, está fazendo um",Climatização > Ar condicionado,,,
2256,Luminária com defeito,Elétrica > Iluminação,,,
2310,Reator em uma das luminárias na sala antiga da coordenação do campus e,Elétrica > Iluminação,,,
2321,Reator da PROGEAC explodiu.,Elétrica > Iluminação,,,
2328,Reator explodiu na Acessória de Avaliação (Antiga coordenação do campu,Elétrica > Iluminação,,,
2393,"PROBLEMA NA LINHA TELEFÔNICA, TELEFONE MUDO.",Outros > Erro de chamado,,,
2437,Estamos com o problema em um dos nossos nobreacks que se encontra na s,Elétrica > Nobreak,,,
2449,Lâmpada queimada,Elétrica > Iluminação,,,
2523,Salas com reatores queimados ou luminárias defeituosas:   IHAC - sala,Elétrica > Iluminação,,,
2524,Aparelhos de ar-condicionado defeituosos na sala da diretoria e da coo,Climatização > Ar condicionado,,,
2570,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,Elétrica > Iluminação,,,
