2026-05-30T11:02:11.000Z,1393,Problemas na Sala Técnica do CSC | Para formalização do chamado e andamento no atendimento segue parte da mensagem envia,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.62,Alta,Reclass_LSTM,Reclass: Elétrica > Instalações elétricas→PENDENTE_REVISAO (0.62→0.42) [nova_cat=PENDENTE_REVISAO; mantido]
2026-06-21T22:35:02.000Z,13874,Infraestrutura de Telecomunicação na portaria,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,0.45,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-22T03:20:36.000Z,13875,Manutenção Preventiva - Limpeza Ralos Cobertura Reitoria,"Manutenção Preventiva > Telhados, calhas, rufos, etc.","Manutenção Preventiva > Telhados, calhas, rufos, etc.",0.25,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-23T13:40:26.000Z,13876,Entupimento,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.38,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-25T13:21:08.000Z,13877,Aparelhos de ar condicionado que não estão funcionando nos laboratórios,Climatização > Ar condicionado,Climatização > Ar condicionado,0.95,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-25T13:21:09.000Z,13878,"Prezados, bom dia.  poderia por favor verificar um vazamento no ar con",Climatização > Ar condicionado,Climatização > Ar condicionado,0.72,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-25T17:08:13.000Z,13879,Entupimento de rede de esgoto,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.74,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-25T20:27:18.000Z,13880,Instalação de abafador de ruído em porta,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.63,Baixa,Supervisionado_LSTM_baixa_conf,Processado
2026-06-29T15:24:19.000Z,13881,Troca de Lâmpadas na Sala da NTI (Nucleo de TI),Elétrica > Iluminação,Elétrica > Iluminação,0.96,Baixa,Supervisionado_LSTM,Processado
2026-06-30T02:52:36.000Z,13882,Manutenção Preventiva Bimensal - Gerador 75 kVA - Reitoria,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.99,Baixa,Supervisionado_LSTM,Processado
2026-06-30T20:28:38.000Z,13883,Solicitação de manutenção – Cadeira de trabalho,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários","Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",0.22,Baixa,Supervisionado_LSTM_baixa_conf,Processado
