PerÃ­odo,Custo Real (R$),ARIMA,SARIMAX-12,SARIMAX-6,Holt-Winters,Prophet/UC,Theta,GradientBoosting,LSTM_Forecast,Ensemble,Vencedor (menor RMSE holdout = 74290.62)
2017-01-01T02:00:00.000Z,5393.72,,60914.66,20260.9,,37865.02,,,,,In-sample
2017-04-01T03:00:00.000Z,19168.11,8105.83,24740.96,249011.09,,65863.62,,,,,In-sample
2017-05-01T03:00:00.000Z,1822,11511.2,,223189.56,19679.48,72902.93,,,133238.08,84113.54,In-sample
2017-07-01T03:00:00.000Z,613.05,14681.36,31816.07,8047.59,169142,78603.23,,,115376.08,71593.95,In-sample
2017-09-01T03:00:00.000Z,11100.6,17987.53,,206650.93,22067.18,13162.24,,,,32506.23,In-sample
2017-10-01T03:00:00.000Z,116470.77,18681.46,,195562.24,156185.56,,,,94110.14,73569.3,In-sample
2017-11-01T02:00:00.000Z,180934.06,24602.7,,191176.93,314324.33,,,,172673.84,119593.92,In-sample
2017-12-01T02:00:00.000Z,25291.88,33404.63,34928.82,190081.87,20887.26,142901.95,,,,47345.91,In-sample
2018-01-01T02:00:00.000Z,14608.65,46469.04,64001.55,,269244.22,171468.5,,,144413.92,104082.74,In-sample
2018-02-01T02:00:00.000Z,114319.87,46827.33,75386.08,2096.83,58384.47,130026.65,,,215429.48,97982.77,In-sample
2018-03-01T03:00:00.000Z,243042.5,37631.1,,153772.81,148353.93,17427.62,,,299263.23,127663.57,In-sample
2018-04-01T03:00:00.000Z,20391.55,53726.08,,175558.84,78649.11,74716.67,,,,23001.08,In-sample
2018-05-01T03:00:00.000Z,38488.05,65028.69,,158265.25,59123.58,125425.89,,,,45068.47,In-sample
2018-06-01T03:00:00.000Z,15360.7,71667.94,,121485.43,45131.26,105405.86,,57441.26,155639.36,76737.81,In-sample
2018-07-01T03:00:00.000Z,122051.33,51779.27,,,93401.74,85874.91,,129389.97,240262.2,89857.49,In-sample
2018-08-01T03:00:00.000Z,28092.22,69928.34,,200227.49,244367.05,39418.1,,42671.32,3418.46,70980.61,In-sample
2018-09-01T03:00:00.000Z,89975.01,66862.47,,132544.57,88029.8,57472.76,,125532.36,94195.05,82840.19,In-sample
2018-10-01T03:00:00.000Z,544756.28,82616.09,,148560.9,219692.94,111606.75,,477329.11,500680.28,267192.89,In-sample
2018-11-01T03:00:00.000Z,168070.62,84833.78,,148438.88,416952.4,285593.58,,133767.83,119164.57,154760.3,In-sample
2018-12-01T02:00:00.000Z,50729.03,113762.66,34498.53,109955.3,108523.37,255915.49,,63265.34,162308.17,114829.03,In-sample
2019-01-01T02:00:00.000Z,883533.07,141300.3,139470.99,,347341.67,266706.27,,799349.26,1002357.6,470511.04,In-sample
2019-02-01T02:00:00.000Z,161268.34,114892.12,109701.83,6686.26,227167.21,415903.97,,151203.42,246569.91,170212.36,In-sample
2019-03-01T03:00:00.000Z,49455.56,154299.71,97538.43,134973.66,305589.16,637809.4,,51301.67,,133178.41,In-sample
2019-04-01T03:00:00.000Z,49269.22,206461.78,138343.2,244412.79,196479.18,365856.97,,46667.2,15095.19,140851.63,In-sample
2019-05-01T03:00:00.000Z,97953.33,113894.48,36695.95,130159.29,166044.12,157203.22,,105130.48,106072.27,113710.94,In-sample
2019-06-01T03:00:00.000Z,30225.64,157662.22,30386.25,113017.73,145421.51,15881.31,,56616.39,164646.5,108808.83,In-sample
2019-07-01T03:00:00.000Z,49702.7,144285.97,90850.36,54834.25,182265.57,29591.37,,69467.86,28297.5,83415.28,In-sample
2019-08-01T03:00:00.000Z,113526.6,160461.92,31172.3,203618.63,312251.42,,,120240.66,108905.81,131869.46,In-sample
2019-09-01T03:00:00.000Z,19362.99,154069.12,51389.76,113043.77,154956.71,,,82470.28,10087.35,75074.98,In-sample
2019-10-01T03:00:00.000Z,21963.97,166152.35,124118.91,173790.45,267504.27,292802.44,,65143.21,,114028.88,In-sample
2019-11-01T03:00:00.000Z,11509.15,168094.47,81193.74,114904.83,393546.51,,,31630.14,109824.87,122058.17,In-sample
2019-12-01T03:00:00.000Z,14664.03,161168.59,27476.78,76855.21,61652.12,,,61721.64,120572.04,63322.21,In-sample
2020-01-01T03:00:00.000Z,74624.3,167286.38,187544.07,51195.03,293109.46,422554.76,,65624.38,178484.99,169147.67,In-sample
2020-02-01T03:00:00.000Z,16874.51,166974.67,215043.95,,75258.76,,,6375.78,,44705.48,In-sample
2020-03-01T03:00:00.000Z,27110.53,171076.93,54474.14,93003.7,140754.81,,,44157.61,809.01,60664.19,In-sample
2020-04-01T03:00:00.000Z,19143.67,174796.98,11630.91,133020.56,34717.28,,,52131.97,30888.31,57926.32,In-sample
2020-05-01T03:00:00.000Z,7460.97,168203.94,,92017.58,7048.46,13853.94,,24505.8,77937.17,62622.14,In-sample
2020-06-01T03:00:00.000Z,5681.77,172098.3,,49892.5,,,,16527.4,7638.82,35689.92,In-sample
2020-07-01T03:00:00.000Z,1822.32,168237.63,41566.11,36135.2,24387.88,41722.4,,2076.82,,40416.32,In-sample
2020-08-01T03:00:00.000Z,28831.34,167481.67,,152282.46,156892.84,77090.93,,47213.63,12306.47,82656.83,In-sample
2020-09-01T03:00:00.000Z,80316.27,166215.51,55554.2,82461,,47165.92,,63214.32,30810.41,65540.88,In-sample
2020-10-01T03:00:00.000Z,16619.52,166713.88,133699.74,126580.96,127242.76,150626.41,,40553.35,92389.31,111063.85,In-sample
2020-11-01T03:00:00.000Z,902557.08,168424.01,28983.29,60369.72,261465.79,9812.76,,867451.27,988777.72,456766.03,In-sample
2020-12-01T03:00:00.000Z,12379.56,188644.2,,84720.57,43466.6,208747.57,,17402.33,113579.85,89189.99,In-sample
2021-01-01T03:00:00.000Z,78174.08,198422.49,212757.35,12728.85,277003.27,590406.4,,81926.69,24311.68,150953.81,In-sample
2021-02-01T03:00:00.000Z,17280.87,257001.63,172543.59,,61816.83,308365.96,,52767.58,13712.24,99379.84,In-sample
2021-03-01T03:00:00.000Z,310659.28,140345.3,66595.08,48059.3,129405.45,140324.25,,274350.3,329559.24,186953.97,In-sample
2021-04-01T03:00:00.000Z,177690,207490.38,34294.7,127682.44,58713.62,97138.65,,160165.99,246467.95,152747.76,In-sample
2021-05-01T03:00:00.000Z,24752.3,178781.77,36761.28,168378.34,49494.35,152162.97,,27906.89,115994.17,101884.47,In-sample
2021-06-01T03:00:00.000Z,24552.89,217302.18,32579.55,49708.79,25621.78,123673.22,,42317.78,48545.76,75315.22,In-sample
2021-07-01T03:00:00.000Z,70305.92,178969.22,77506.84,21179.76,67855.68,63530.81,,63714.74,39984.77,73327.17,In-sample
2021-08-01T03:00:00.000Z,623421.68,181391.55,42712.15,154792.44,206465.72,45343.28,,565843.09,566996.93,317002.99,In-sample
2021-09-01T03:00:00.000Z,29657.46,190939.48,58839.13,119472.66,115447.88,175642.95,,69977.72,135231.84,121670.22,In-sample
2021-10-01T03:00:00.000Z,120385.44,205469.71,127758.15,94174.81,231703.25,162520.06,,133452,190944.16,165472.72,In-sample
2021-11-01T03:00:00.000Z,1128935.83,1269711.33,1249493.57,1212040.94,1404834.4,855287,,1156346.99,1208732.63,1211709.86,In-sample
2021-12-01T03:00:00.000Z,5481.11,164435.83,64473.7,21010.42,51556.21,255204.82,,40106.78,,59659.59,In-sample
2022-01-01T03:00:00.000Z,95943.02,205819.26,197289.03,56569.9,282941.04,422444.35,,111929.51,103358.31,168553.21,In-sample
2022-02-01T03:00:00.000Z,43179.45,178715.82,116224.33,,68694.9,205289.12,,95928.91,77159.48,98438.32,In-sample
2022-03-01T03:00:00.000Z,85294.97,182727.01,118741.21,99245.95,138159.87,340639.3,,108573.46,159063.97,150894.56,In-sample
2022-04-01T03:00:00.000Z,42919.17,185540.43,71578.49,94094.43,39594.43,99608.24,,36365.06,133987.02,97628.06,In-sample
2022-05-01T03:00:00.000Z,706493.8,176267.62,40111.06,154470.42,14859.08,,,578284.82,772344.56,328956.52,In-sample
2022-06-01T03:00:00.000Z,203487.83,192241.99,42853.26,53158.48,72811.65,39388.09,,122096.84,215616.15,124831.65,In-sample
2022-07-01T03:00:00.000Z,38265.05,199301.75,121735.29,42146.7,132835.76,236922.96,,66813.7,,88517.96,In-sample
