Período,Quantidade Real,ARIMA,SARIMAX-12,SARIMAX-6,Holt-Winters,Prophet/UC,Theta,GradientBoosting,LSTM_Forecast,Ensemble,Vencedor (menor RMSE holdout = 23.52)
2015-01-01T02:00:00.000Z,1,0,-7,-4,0,-7,,,20,1,In-sample
2015-02-01T02:00:00.000Z,0,1,-11,-6,1,-14,,,-17,-8,In-sample
2015-03-01T03:00:00.000Z,0,2,-1,8,19,1,,,14,7,In-sample
2015-04-01T03:00:00.000Z,1,0,4,9,-2,3,,,-8,1,In-sample
2015-05-01T03:00:00.000Z,2,-1,9,6,19,8,,,-20,3,In-sample
2015-06-01T03:00:00.000Z,2,1,4,2,-3,4,,,-35,-5,In-sample
2015-07-01T03:00:00.000Z,4,4,4,-2,-4,-3,,,5,1,In-sample
2015-08-01T03:00:00.000Z,6,3,-9,3,-3,-4,,,-5,-3,In-sample
2015-09-01T03:00:00.000Z,2,6,1,-1,-14,4,,,32,5,In-sample
2015-10-01T03:00:00.000Z,5,5,5,-3,17,2,,,8,6,In-sample
2015-11-01T02:00:00.000Z,3,4,15,4,4,13,,,12,9,In-sample
2015-12-01T02:00:00.000Z,2,4,-6,-1,-17,-2,,,47,4,In-sample
2016-01-01T02:00:00.000Z,6,3,2,1,17,-1,,,-5,3,In-sample
2016-02-01T02:00:00.000Z,7,4,20,9,12,21,,8,3,11,In-sample
2016-03-01T03:00:00.000Z,11,7,22,12,27,10,,15,4,15,In-sample
2016-04-01T03:00:00.000Z,15,10,12,12,8,8,,15,4,10,In-sample
2016-05-01T03:00:00.000Z,16,14,-1,6,32,6,,17,-23,7,In-sample
2016-06-01T03:00:00.000Z,15,17,14,17,10,9,,19,11,14,In-sample
2016-07-01T03:00:00.000Z,26,17,14,18,9,16,,22,21,17,In-sample
2016-08-01T03:00:00.000Z,21,23,39,33,15,36,,19,52,31,In-sample
2016-09-01T03:00:00.000Z,22,24,16,15,2,18,,20,22,17,In-sample
2016-10-01T03:00:00.000Z,10,25,31,27,36,29,,16,21,26,In-sample
2016-11-01T02:00:00.000Z,12,15,0,9,15,6,,15,48,16,In-sample
2016-12-01T02:00:00.000Z,11,14,24,17,-7,17,,14,28,16,In-sample
2017-01-01T02:00:00.000Z,32,10,9,10,27,16,,28,44,21,In-sample
2017-02-01T02:00:00.000Z,20,26,20,22,30,15,,22,2,20,In-sample
2017-03-01T03:00:00.000Z,45,24,26,29,43,30,,44,34,33,In-sample
2017-04-01T03:00:00.000Z,42,39,41,38,33,35,,43,15,35,In-sample
2017-05-01T03:00:00.000Z,43,42,35,36,58,39,,45,31,41,In-sample
2017-06-01T03:00:00.000Z,41,47,55,53,37,49,,44,37,46,In-sample
2017-07-01T03:00:00.000Z,62,44,40,45,35,47,,57,98,53,In-sample
2017-08-01T03:00:00.000Z,36,55,64,64,46,55,,38,33,50,In-sample
2017-09-01T03:00:00.000Z,41,49,46,47,25,56,,46,54,46,In-sample
2017-10-01T03:00:00.000Z,43,42,26,33,56,20,,45,82,44,In-sample
2017-11-01T02:00:00.000Z,79,44,22,30,43,32,,74,87,49,In-sample
2017-12-01T02:00:00.000Z,49,65,78,74,42,58,,48,87,65,In-sample
2018-01-01T02:00:00.000Z,83,63,82,74,70,85,,82,80,77,In-sample
2018-02-01T02:00:00.000Z,102,75,80,72,77,75,,94,85,81,In-sample
2018-03-01T03:00:00.000Z,142,93,84,87,109,91,,135,110,103,In-sample
2018-04-01T03:00:00.000Z,132,131,136,139,116,119,,122,79,121,In-sample
2018-05-01T03:00:00.000Z,155,139,140,143,145,138,,150,149,144,In-sample
2018-06-01T03:00:00.000Z,125,153,146,145,137,134,,133,157,143,In-sample
2018-07-01T03:00:00.000Z,202,141,146,147,127,167,,197,209,163,In-sample
2018-08-01T03:00:00.000Z,143,180,166,181,164,144,,138,148,160,In-sample
2018-09-01T03:00:00.000Z,168,164,157,167,138,160,,167,199,165,In-sample
2018-10-01T03:00:00.000Z,185,175,172,170,177,160,,179,199,177,In-sample
2018-11-01T03:00:00.000Z,146,176,178,171,175,203,,148,179,174,In-sample
2018-12-01T02:00:00.000Z,158,167,164,168,140,149,,159,174,161,In-sample
2019-01-01T02:00:00.000Z,152,170,169,169,174,167,,155,142,163,In-sample
2019-02-01T02:00:00.000Z,205,142,155,144,163,168,,200,168,164,In-sample
2019-03-01T03:00:00.000Z,216,211,211,204,204,204,,208,152,199,In-sample
2019-04-01T03:00:00.000Z,201,191,200,204,200,198,,200,172,195,In-sample
2019-05-01T03:00:00.000Z,212,236,223,226,221,213,,205,241,223,In-sample
2019-06-01T03:00:00.000Z,128,199,195,189,203,186,,129,130,174,In-sample
2019-07-01T03:00:00.000Z,142,172,189,184,160,227,,143,157,173,In-sample
2019-08-01T03:00:00.000Z,166,152,132,147,148,130,,164,201,154,In-sample
2019-09-01T03:00:00.000Z,147,142,151,159,142,157,,146,153,150,In-sample
2019-10-01T03:00:00.000Z,206,177,171,168,168,180,,204,237,187,In-sample
2019-11-01T03:00:00.000Z,160,171,191,185,182,162,,158,173,175,In-sample
2019-12-01T03:00:00.000Z,150,191,156,154,150,173,,153,168,163,In-sample
2020-01-01T03:00:00.000Z,171,156,180,181,175,154,,168,144,166,In-sample
2020-02-01T03:00:00.000Z,106,168,167,148,174,196,,114,40,141,In-sample
2020-03-01T03:00:00.000Z,126,131,157,153,157,171,,126,97,140,In-sample
2020-04-01T03:00:00.000Z,96,130,126,124,130,132,,99,99,119,In-sample
2020-05-01T03:00:00.000Z,51,101,101,102,132,138,,58,42,93,In-sample
2020-06-01T03:00:00.000Z,56,78,53,59,76,35,,62,68,62,In-sample
2020-07-01T03:00:00.000Z,54,57,64,58,61,63,,53,94,64,In-sample
2020-08-01T03:00:00.000Z,54,48,44,59,54,72,,57,60,56,In-sample
2020-09-01T03:00:00.000Z,63,66,67,66,38,41,,63,86,62,In-sample
2020-10-01T03:00:00.000Z,73,47,56,49,74,90,,74,86,67,In-sample
2020-11-01T03:00:00.000Z,83,83,69,69,67,44,,82,94,74,In-sample
2020-12-01T03:00:00.000Z,56,67,76,64,55,67,,66,53,64,In-sample
2021-01-01T03:00:00.000Z,141,77,84,86,79,104,,132,86,94,In-sample
2021-02-01T03:00:00.000Z,120,108,104,99,112,74,,121,87,103,In-sample
2021-03-01T03:00:00.000Z,95,118,134,132,135,148,,100,93,121,In-sample
2021-04-01T03:00:00.000Z,89,122,114,126,103,118,,96,103,111,In-sample
2021-05-01T03:00:00.000Z,76,80,72,74,116,73,,77,75,81,In-sample
2021-06-01T03:00:00.000Z,80,93,65,72,81,84,,88,114,85,In-sample
2021-07-01T03:00:00.000Z,95,73,95,98,77,76,,102,106,91,In-sample
2021-08-01T03:00:00.000Z,128,93,88,96,83,97,,119,148,104,In-sample
2021-09-01T03:00:00.000Z,69,117,106,115,91,96,,84,72,97,In-sample
2021-10-01T03:00:00.000Z,101,85,107,88,102,113,,104,110,101,In-sample
2021-11-01T03:00:00.000Z,97,108,100,94,95,104,,97,81,97,In-sample
2021-12-01T03:00:00.000Z,90,77,79,72,76,64,,92,56,75,In-sample
2022-01-01T03:00:00.000Z,112,115,125,124,107,139,,111,86,114,In-sample
2022-02-01T03:00:00.000Z,156,90,104,95,110,119,,150,147,117,In-sample
2022-03-01T03:00:00.000Z,121,147,144,144,153,117,,124,126,137,In-sample
2022-04-01T03:00:00.000Z,112,131,122,137,125,126,,121,100,123,In-sample
2022-05-01T03:00:00.000Z,151,119,111,116,138,104,,141,173,130,In-sample
2022-06-01T03:00:00.000Z,144,145,110,113,132,118,,140,151,130,In-sample
2022-07-01T03:00:00.000Z,141,131,171,176,134,150,,137,167,152,In-sample
2022-08-01T03:00:00.000Z,131,168,151,158,135,169,,136,136,149,In-sample
2022-09-01T03:00:00.000Z,80,112,115,121,117,112,,83,83,105,In-sample
2022-10-01T03:00:00.000Z,125,125,119,101,121,129,,116,113,117,In-sample
2022-11-01T03:00:00.000Z,60,96,108,107,116,111,,70,17,88,In-sample
2022-12-01T03:00:00.000Z,60,87,65,65,66,78,,63,58,68,In-sample
2023-01-01T03:00:00.000Z,71,72,97,89,87,90,,72,77,83,In-sample
2023-02-01T03:00:00.000Z,83,52,71,54,79,114,,90,85,77,In-sample
2023-03-01T03:00:00.000Z,187,94,99,93,99,73,,173,167,118,In-sample
2023-04-01T03:00:00.000Z,113,134,131,146,135,98,,119,130,128,In-sample
2023-05-01T03:00:00.000Z,284,143,140,140,143,147,,276,276,185,In-sample
2023-06-01T03:00:00.000Z,204,235,215,215,204,180,,198,227,211,In-sample
2023-07-01T03:00:00.000Z,97,203,211,222,201,216,,100,106,176,In-sample
2023-08-01T03:00:00.000Z,134,178,185,195,143,183,,138,136,164,In-sample
2023-09-01T03:00:00.000Z,92,106,65,73,123,104,,93,72,90,In-sample
2023-10-01T03:00:00.000Z,111,108,129,122,129,155,,112,69,116,In-sample
2023-11-01T03:00:00.000Z,181,122,112,122,113,90,,168,169,131,In-sample
2023-12-01T03:00:00.000Z,76,129,118,121,129,120,,77,101,112,In-sample
2024-01-01T03:00:00.000Z,103,139,143,132,125,136,,106,116,127,In-sample
2024-02-01T03:00:00.000Z,105,83,133,99,114,117,,107,82,105,In-sample
2024-03-01T03:00:00.000Z,135,114,101,91,127,162,,135,141,123,In-sample
2024-04-01T03:00:00.000Z,110,115,124,145,120,53,,113,155,120,In-sample
2024-05-01T03:00:00.000Z,349,340,346,329,349,199,,348,368,331,In-sample
2024-06-01T03:00:00.000Z,148,125,113,115,121,212,,143,149,137,In-sample
2024-07-01T03:00:00.000Z,119,143,121,134,132,139,,114,130,129,In-sample
2024-08-01T03:00:00.000Z,124,132,129,150,122,174,,126,105,132,In-sample
2024-09-01T03:00:00.000Z,85,126,109,123,107,121,,93,29,100,In-sample
2024-10-01T03:00:00.000Z,120,97,115,93,118,119,,116,114,111,In-sample
2024-11-01T03:00:00.000Z,111,115,112,128,113,162,,106,136,122,In-sample
2024-12-01T03:00:00.000Z,87,105,83,88,91,65,,91,116,92,In-sample
2025-01-01T03:00:00.000Z,117,104,109,103,113,94,,111,101,106,In-sample
2025-02-01T03:00:00.000Z,101,107,117,96,115,107,,96,105,106,In-sample
2025-03-01T03:00:00.000Z,120,100,141,120,126,138,,117,151,127,In-sample
2025-04-01T03:00:00.000Z,123,127,105,120,112,70,,123,159,118,In-sample
2025-05-01T03:00:00.000Z,320,103,146,132,138,296,138,107,112,140,Backtest (out-of-sample)
2025-06-01T03:00:00.000Z,176,130,127,112,116,134,117,114,113,120,Backtest (out-of-sample)
2025-07-01T03:00:00.000Z,145,109,108,108,115,111,116,129,128,116,Backtest (out-of-sample)
2025-08-01T03:00:00.000Z,118,121,110,125,116,141,116,99,123,117,Backtest (out-of-sample)
2025-09-01T03:00:00.000Z,111,123,103,126,99,125,98,128,119,115,Backtest (out-of-sample)
2025-10-01T03:00:00.000Z,136,113,115,118,122,147,118,124,131,123,Backtest (out-of-sample)
2025-11-01T03:00:00.000Z,111,131,115,137,116,162,113,151,127,131,Backtest (out-of-sample)
2025-12-01T03:00:00.000Z,84,114,93,115,97,124,94,153,138,116,Backtest (out-of-sample)
2026-01-01T03:00:00.000Z,86,130,117,123,123,155,117,181,111,133,Backtest (out-of-sample)
2026-02-01T03:00:00.000Z,79,120,116,116,126,141,120,110,104,118,Backtest (out-of-sample)
2026-03-01T03:00:00.000Z,98,126,129,115,143,141,139,123,116,128,Backtest (out-of-sample)
2026-04-01T03:00:00.000Z,122,128,117,125,128,130,120,104,114,120,Backtest (out-of-sample)
2026-05-01T03:00:00.000Z,,115,145,128,127,283,128,118,106,139,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-06-01T03:00:00.000Z,,119,139,114,114,140,113,117,110,120,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-07-01T03:00:00.000Z,,114,125,116,109,123,109,122,119,117,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-08-01T03:00:00.000Z,,124,117,119,106,112,106,130,115,117,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-09-01T03:00:00.000Z,,111,98,117,90,106,89,112,115,105,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-10-01T03:00:00.000Z,,127,122,120,113,147,110,136,121,124,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-11-01T03:00:00.000Z,,113,115,134,106,136,103,132,122,120,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2026-12-01T03:00:00.000Z,,126,89,115,86,115,83,111,130,106,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2027-01-01T03:00:00.000Z,,117,108,119,109,124,107,115,108,113,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2027-02-01T03:00:00.000Z,,123,109,115,110,116,108,94,100,108,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2027-03-01T03:00:00.000Z,,123,130,118,128,127,127,96,111,119,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
2027-04-01T03:00:00.000Z,,121,118,125,116,132,110,97,112,115,GradientBoosting (RMSE) / SARIMAX-12 (multicrit.)
,,,,,,,,,,,
MÉTRICAS DE VALIDAÇÃO (Holdout 12 meses — backtest out-of-sample),,,,,,,,,,,
Coluna 'Vencedor' na área de forecast indica o modelo com menor RMSE no holdout. Critério: menor RMSE = GradientBoosting (RMSE=23.52). Multicritério (RMSE·0.5 + CRPS·0.3 + Desvio_CV·0.2): SARIMAX-12 (score=0.1402). Ver PREVISAO_CRPS_MULTICRITERIO para tabela completa de scores.,,,,,,,,,,,
Região 'In-sample' (histórico antes do holdout): valores ajustados = real − resíduo do modelo. Região 'Backtest': previsão out-of-sample do modelo treinado até T−12 para os 12 meses seguintes. Região 'Forecast': projeção além do último ponto observado.,,,,,,,,,,,
Modelo,MAE,RMSE,R²,MAPE (%),AIC,BIC,Configuração,,,,
ARIMA,27.58,31.09,-0.239,25.06,1281.93,1302,"ARIMA(3,2,3)",,,,
SARIMAX-12,20.17,25.58,0.161,18.12,1089.83,1116.65,"SARIMAX(2,1,2)(0,1,1)[12]+exog",,,,
SARIMAX-6,25.43,30.13,-0.164,22.85,1207.62,1235.49,"SARIMAX(2,1,2)(0,1,1)[6]+exog",,,,
Holt-Winters,23.18,29.92,-0.148,21.29,951.96,998.56,"HW(α=0.528,β=0.005,γ=0.000)",,,,
Prophet/UC,35.16,39.93,0.593,33.22,1270.85,1293.35,UnobservedComponents(LLT + seasonal=12 + exog),,,,
Theta,21.31,27.9,0.002,19.23,—,—,Theta(period=12),,,,
GradientBoosting,17.52,23.52,NaN,14.36,—,—,"GBR-DIRECT(H=12, n=200, depth=3, lr=0.05)",,,,
LSTM_Forecast,1900-01-22T06:56:52.000Z,29.32,-0.103,20.88,—,—,"LSTM(W=12,units=64)+exog4",,,,
Ensemble,23.51,29.05,-0.002,21.16,—,—,Média ponderada por 1/RMSE,,,,
,,,,,,,,,,,
TESTES DE ESTACIONARIEDADE,,,,,,,,,,,
Teste,Estatística,p-valor,Interpretação,,,,,,,,
ADF (Dickey-Fuller),-2.3116,0.1682,Não estacionária,,,,,,,,
KPSS,0.8085,0.01,Não estacionária,,,,,,,,
,,,,,,,,,,,
